"Analysis Type","NCBI BioProject ID (Strain 1)","Strain 1","GI (Strain 1)","Locus Tag (Strain 1)","NCBI RefSeq Accession (Strain 1)","Description (Strain 1)","NCBI BioProject ID (Strain 2)","Strain 2","GI (Strain 2)","Locus Tag (Strain 2)","NCBI RefSeq Accession (Strain 2)","Description (Strain 2)","Inparalogs","Strain 1 Inparalogs (Locus Tag/Name)","Strain 2 Inparalogs (Locus Tag/Name)","Ortholuge Class"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","49176193","b2163","NP_416668.3","DNA-binding transcriptional activator of stationary phase nitrogen survival","57945","Pseudomonas aeruginosa PAO1","15595472","PA0275","NP_248966.1","transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128052","b0058","NP_414600.1","pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)","57945","Pseudomonas aeruginosa PAO1","15598442","PA3246","NP_251936.1","pseudouridine synthase RluA","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128384","b0399","NP_414933.1","DNA-binding response regulator in two-component regulatory system with PhoR (or CreC)","57945","Pseudomonas aeruginosa PAO1","15600553","PA5360","NP_254047.1","two-component response regulator PhoB","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131755","b3917","NP_418352.1","sulfate transporter subunit","57945","Pseudomonas aeruginosa PAO1","15595480","PA0283","NP_248974.1","sulfate-binding protein precursor","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132161","b4340","NP_418760.1","fused predicted DNA-binding transcriptional regulator/predicted aminotransferase","57945","Pseudomonas aeruginosa PAO1","15597228","PA2032","NP_250722.1","transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130004","b2064","NP_416568.1","predicted assembly protein","57945","Pseudomonas aeruginosa PAO1","15600339","PA5146","NP_253833.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130437","b2512","NP_417007.1","lipoprotein required for OM biogenesis, in BamABCD complex","57945","Pseudomonas aeruginosa PAO1","15598995","PA3800","NP_252489.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131199","b3320","NP_417779.1","50S ribosomal subunit protein L3","57945","Pseudomonas aeruginosa PAO1","15599459","PA4263","NP_252953.1","50S ribosomal protein L3","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130464","b2539","NP_417034.1","3-phenylpropionate dioxygenase, small (beta) subunit","57945","Pseudomonas aeruginosa PAO1","15597709","PA2513","NP_251203.1","anthranilate dioxygenase small subunit","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130464","b2539","NP_417034.1","3-phenylpropionate dioxygenase, small (beta) subunit","57945","Pseudomonas aeruginosa PAO1","15597281","PA2085","NP_250775.1","ring-hydroxylating dioxygenase small subunit","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131233","b3354","NP_417813.1","conserved protein","57945","Pseudomonas aeruginosa PAO1","15598659","PA3463","NP_252153.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132216","b4399","NP_418816.1","sensory histidine kinase in two-component regulatory system with CreB or PhoB, regulator of the CreBC regulon","57945","Pseudomonas aeruginosa PAO1","15595661","PA0464","NP_249155.1","sensory histidine kinase CreC","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130001","b2061","NP_416565.1","protein-tyrosine phosphatase","57945","Pseudomonas aeruginosa PAO1","15598174","PA2978","NP_251668.1","phosphotyrosine protein phosphatase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111198","b0982","NP_415502.4","phosphotyrosine-protein phosphatase","57945","Pseudomonas aeruginosa PAO1","15598174","PA2978","NP_251668.1","phosphotyrosine protein phosphatase","1","b2061[protein-tyrosine phosphatase]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111091","b0147","NP_414689.4","2'-5' RNA ligase","57945","Pseudomonas aeruginosa PAO1","15598057","PA2861","NP_251551.1","2'-5' RNA ligase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131162","b3281","NP_417740.1","dehydroshikimate reductase, NAD(P)-binding","57945","Pseudomonas aeruginosa PAO1","15595223","PA0025","NP_248715.1","shikimate 5-dehydrogenase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129867","b1920","NP_416430.1","cystine transporter subunit","57945","Pseudomonas aeruginosa PAO1","15595511","PA0314","NP_249005.1","L-cysteine transporter of ABC system FliY","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128580","b0597","NP_415129.1","thioesterase required for efficient enterobactin production","57945","Pseudomonas aeruginosa PAO1","15596815","PA1618","NP_250309.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129642","b1686","NP_416201.1","acyl-CoA esterase in vitro","57945","Pseudomonas aeruginosa PAO1","15596815","PA1618","NP_250309.1","hypothetical protein","1","b0597[thioesterase required for efficient enterobactin production]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132057","b4235","NP_418656.1","predicted peptidase required for the maturation and secretion of the antibiotic peptide MccB17","57945","Pseudomonas aeruginosa PAO1","15599668","PA4472","NP_253162.1","PmbA protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130879","b2979","NP_417453.1","glycolate oxidase subunit, FAD-linked","57945","Pseudomonas aeruginosa PAO1","15600548","PA5355","NP_254042.1","glycolate oxidase subunit GlcD","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131603","b3735","NP_418191.1","F1 sector of membrane-bound ATP synthase, delta subunit","57945","Pseudomonas aeruginosa PAO1","15600750","PA5557","NP_254244.1","F0F1 ATP synthase subunit delta","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129185","b1222","NP_415740.1","sensory histidine kinase in two-component regulatory system with NarL","57945","Pseudomonas aeruginosa PAO1","15599073","PA3878","NP_252567.1","two-component sensor NarX","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128686","b0711","NP_415239.1","predicted enzyme subunit","57945","Pseudomonas aeruginosa PAO1","15597307","PA2111","NP_250801.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128686","b0711","NP_415239.1","predicted enzyme subunit","57945","Pseudomonas aeruginosa PAO1","15599706","PA4510","NP_253200.1","hypothetical protein","1","","PA2111[hypothetical protein]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131856","b4030","NP_418454.1","phosphate starvation inducible protein","57945","Pseudomonas aeruginosa PAO1","15598599","PA3403","NP_252093.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128113","b0120","NP_414662.1","S-adenosylmethionine decarboxylase","57945","Pseudomonas aeruginosa PAO1","15595851","PA0654","NP_249345.1","S-adenosylmethionine decarboxylase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111144","b0511","NP_415044.4","predicted allantoin transporter","57945","Pseudomonas aeruginosa PAO1","15595673","PA0476","NP_249167.1","permease","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128611","b0628","NP_415161.1","lipoate synthase","57945","Pseudomonas aeruginosa PAO1","15599191","PA3996","NP_252685.1","lipoyl synthase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128195","b0208","NP_414744.1","predicted DNA-binding transcriptional regulator","57945","Pseudomonas aeruginosa PAO1","15597056","PA1859","NP_250550.1","transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130593","b2679","NP_417165.1","glycine betaine transporter subunit","57945","Pseudomonas aeruginosa PAO1","15600289","PA5096","NP_253783.1","ABC transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130593","b2679","NP_417165.1","glycine betaine transporter subunit","57945","Pseudomonas aeruginosa PAO1","15600296","PA5103","NP_253790.1","hypothetical protein","1","","PA5096[ABC transporter]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129585","b1627","NP_416144.1","electron transport complex protein required for the reduction of SoxR","57945","Pseudomonas aeruginosa PAO1","15598685","PA3489","NP_252179.1","Na(+)-translocating NADH-quinone reductase subunit E","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128822","b0854","NP_415375.1","putrescine transporter subunit: periplasmic-binding component of ABC superfamily","57945","Pseudomonas aeruginosa PAO1","15596607","PA1410","NP_250101.1","periplasmic spermidine/putrescine-binding protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111404","b2229","NP_416732.4","predicted protein","57945","Pseudomonas aeruginosa PAO1","15599686","PA4490","NP_253180.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111357","b1940","NP_416450.2","negative regulator of FliI ATPase activity","57945","Pseudomonas aeruginosa PAO1","15596300","PA1103","NP_249794.1","flagellar assembly protein H","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131525","b3654","NP_418111.1","xanthine permease","57945","Pseudomonas aeruginosa PAO1","15595549","PA0352","NP_249043.1","transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130167","b2232","NP_416735.1","bifunctional 3-demethylubiquinone-9 3-methyltransferase/ 2-octaprenyl-6-hydroxy phenol methylase","57945","Pseudomonas aeruginosa PAO1","15598367","PA3171","NP_251861.1","3-demethylubiquinone-9 3-methyltransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131523","b3652","NP_418109.1","ATP-dependent DNA helicase","57945","Pseudomonas aeruginosa PAO1","15600538","PA5345","NP_254032.1","ATP-dependent DNA helicase RecG","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131894","b4068","NP_418492.1","inner membrane protein, DUF485 family","57945","Pseudomonas aeruginosa PAO1","15598431","PA3235","NP_251925.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128389","b0404","NP_414938.1","conserved protein","57945","Pseudomonas aeruginosa PAO1","15599549","PA4353","NP_253043.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131415","b3543","NP_418000.1","dipeptide/heme transporter","57945","Pseudomonas aeruginosa PAO1","15599699","PA4503","NP_253193.1","ABC transporter permease","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","162135921","b1125","NP_415643.3","polyamine transporter subunit","57945","Pseudomonas aeruginosa PAO1","15598804","PA3608","NP_252298.1","polyamine transporter PotB","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130333","b2407","NP_416902.1","purine nucleoside phosphorylase II","57945","Pseudomonas aeruginosa PAO1","15598200","PA3004","NP_251694.1","5'-methylthioadenosine phosphorylase","","","","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111432","b2430","NP_416925.2","weak penicillin binding protein PBP4B, predicted periplasmic esterase","57945","Pseudomonas aeruginosa PAO1","15597511","PA2315","NP_251005.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131168","b3289","NP_417747.1","16S rRNA m(5)C967 methyltransferase, S-adenosyl-L-methionine-dependent","57945","Pseudomonas aeruginosa PAO1","15595215","PA0017","NP_248707.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130648","b2741","NP_417221.1","RNA polymerase, sigma S (sigma 38) factor","57945","Pseudomonas aeruginosa PAO1","15598818","PA3622","NP_252312.1","RNA polymerase sigma factor RpoS","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111280","b1478","NP_415995.4","ethanol-active dehydrogenase/acetaldehyde-active reductase","57945","Pseudomonas aeruginosa PAO1","15600620","PA5427","NP_254114.1","alcohol dehydrogenase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128922","b0955","NP_415475.1","predicted peptidase","57945","Pseudomonas aeruginosa PAO1","15599772","PA4576","NP_253266.1","ATP-dependent protease","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111179","b0869","NP_415390.4","conserved protein with NAD(P)-binding Rossmann-fold domain","57945","Pseudomonas aeruginosa PAO1","15595530","PA0333","NP_249024.1","hypothetical protein","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131232","b3353","NP_417812.1","predicted hydrolase","57945","Pseudomonas aeruginosa PAO1","15595565","PA0368","NP_249059.1","hypothetical protein","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129093","b1130","NP_415648.1","DNA-binding response regulator in two-component regulatory system with PhoQ","57945","Pseudomonas aeruginosa PAO1","15596376","PA1179","NP_249870.1","two-component response regulator PhoP","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131306","b3432","NP_417890.1","1,4-alpha-glucan branching enzyme","57945","Pseudomonas aeruginosa PAO1","15597349","PA2153","NP_250843.1","glycogen branching enzyme","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131752","b3912","NP_418348.1","DNA-binding response regulator in two-component regulatory system with CpxA","57945","Pseudomonas aeruginosa PAO1","15598400","PA3204","NP_251894.1","two-component response regulator","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129295","b1334","NP_415850.1","DNA-binding transcriptional dual regulator, global regulator of anaerobic growth","57945","Pseudomonas aeruginosa PAO1","15596741","PA1544","NP_250235.1","transcriptional regulator Anr","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130988","b3093","NP_417564.1","hexuronate transporter","57945","Pseudomonas aeruginosa PAO1","15595438","PA0241","NP_248932.1","major facilitator superfamily (MFS) transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131400","b3528","NP_417985.1","C4-dicarboxylic acid, orotate and citrate transporter","57945","Pseudomonas aeruginosa PAO1","15596380","PA1183","NP_249874.1","C4-dicarboxylate transporter DctA","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128617","b0634","NP_415167.1","cell wall shape-determining protein","57945","Pseudomonas aeruginosa PAO1","15599197","PA4002","NP_252691.1","rod shape-determining protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130984","b3089","NP_417560.1","sodium:serine/threonine symporter","57945","Pseudomonas aeruginosa PAO1","15597238","PA2042","NP_250732.1","serine/threonine transporter SstT","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129828","b1876","NP_416390.1","arginyl-tRNA synthetase","57945","Pseudomonas aeruginosa PAO1","15600244","PA5051","NP_253738.1","arginyl-tRNA synthetase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128392","b0407","NP_414941.1","SecYEG protein translocase auxillary subunit","57945","Pseudomonas aeruginosa PAO1","15599017","PA3822","NP_252511.1","preprotein translocase subunit YajC","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129897","b1950","NP_416460.1","flagellar export pore protein","57945","Pseudomonas aeruginosa PAO1","15596645","PA1448","NP_250139.1","flagellar biosynthesis protein FliR","","","","SSD"
